sports,injury rate,men age,women age,men participation,women participaiton,participation ratio,standard deviation men,standard deviation women,proportion of men,proportion of women,combined mean,variance average age,standard deviation of final
Artistic Swimming,29.5,40.1,34.2,33.4,36.5,0.915068493,12.3,9.8,0.49408284,0.50591716,37.11508876,132.0393581,11.49083801
Canoe Slalom,29.5,40.1,34.2,33.4,36.5,0.915068493,12.3,9.8,0.49408284,0.50591716,37.11508876,132.0393581,11.49083801
Rowing,29.5,40.1,34.2,33.4,36.5,0.915068493,12.3,9.8,0.49408284,0.50591716,37.11508876,132.0393581,11.49083801
Diving,29.5,40.1,34.2,33.4,36.5,0.915068493,12.3,9.8,0.49408284,0.50591716,37.11508876,132.0393581,11.49083801
Canoe Sprint,29.5,40.1,34.2,33.4,36.5,0.915068493,12.3,9.8,0.49408284,0.50591716,37.11508876,132.0393581,11.49083801
Marathon Swimming,29.5,40.1,34.2,33.4,36.5,0.915068493,12.3,9.8,0.49408284,0.50591716,37.11508876,132.0393581,11.49083801
Swimming,29.5,40.1,34.2,33.4,36.5,0.915068493,12.3,9.8,0.49408284,0.50591716,37.11508876,132.0393581,11.49083801
Water Polo,29.5,40.1,34.2,33.4,36.5,0.915068493,12.3,9.8,0.49408284,0.50591716,37.11508876,132.0393581,11.49083801
Rugby Sevens,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Ultimate Frisbee,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Ice Hockey,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Basketball,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Volleyball,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Beach Volleyball,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
3x3 Basketball,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Baseball,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Flag Football,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Handball,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Rugby Union,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
American Football,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Football,66.35,31,26.25,10.7,1.65,6.485,8.1,6.6,0.289580514,0.710419486,27.62550744,54.58688997,7.388294117
Badminton,43.9,36.9,31.9,24.1,11.5,2.095,10.7,8.8,0.430357143,0.569642857,34.05178571,99.51347895,9.975644288
Table Tennis,43.9,36.9,31.9,24.1,11.5,2.095,10.7,8.8,0.430357143,0.569642857,34.05178571,99.51347895,9.975644288
Tennis,43.9,36.9,31.9,24.1,11.5,2.095,10.7,8.8,0.430357143,0.569642857,34.05178571,99.51347895,9.975644288
Fencing,43.9,36.9,31.9,24.1,11.5,2.095,10.7,8.8,0.430357143,0.569642857,34.05178571,99.51347895,9.975644288
Cricket,43.9,36.9,31.9,24.1,11.5,2.095,10.7,8.8,0.430357143,0.569642857,34.05178571,99.51347895,9.975644288
Golf,43.9,36.9,31.9,24.1,11.5,2.095,10.7,8.8,0.430357143,0.569642857,34.05178571,99.51347895,9.975644288
Archery,43.9,36.9,31.9,24.1,11.5,2.095,10.7,8.8,0.430357143,0.569642857,34.05178571,99.51347895,9.975644288
Road Cycling,34.7,40.5,33,19.5,15.05,1.296,12.05,9.6,0.371428571,0.628571429,35.78571429,124.9941531,11.1800784
Mountain Biking,34.7,40.5,33,19.5,15.05,1.296,12.05,9.6,0.371428571,0.628571429,35.78571429,124.9941531,11.1800784
Freestyle BMX,34.7,40.5,33,19.5,15.05,1.296,12.05,9.6,0.371428571,0.628571429,35.78571429,124.9941531,11.1800784
BMX Racing,34.7,40.5,33,19.5,15.05,1.296,12.05,9.6,0.371428571,0.628571429,35.78571429,124.9941531,11.1800784
Track Cycling,34.7,40.5,33,19.5,15.05,1.296,12.05,9.6,0.371428571,0.628571429,35.78571429,124.9941531,11.1800784
Judo,34.13,38.43,30.03,6.967,14.567,0.478,12.43,9.7,0.188312566,0.811687434,31.61182555,116.2520474,10.78202427
Boxing,34.13,38.43,30.03,6.967,14.567,0.478,12.43,9.7,0.188312566,0.811687434,31.61182555,116.2520474,10.78202427
Artistic Gymnastics,34.13,38.43,30.03,6.967,14.567,0.478,12.43,9.7,0.188312566,0.811687434,31.61182555,116.2520474,10.78202427
